raceId,lap
879,71
880,1
881,1
886,1
887,18
887,19
887,20
888,29
888,28
888,25
888,26
888,27
890,1
891,1
892,1
893,29
893,28
893,30
893,26
893,27
894,32
894,33
894,34
894,35
894,36
894,39
894,40
896,1
898,3
898,4
898,2
899,1
900,1
902,41
902,42
902,43
902,44
902,45
902,46
904,1
905,28
905,1
905,2
906,5
906,1
906,2
906,3
906,4
906,6
908,2
909,1
910,10
910,9
912,1
913,31
913,32
913,33
913,34
913,35
913,36
913,37
914,3
915,1
916,4
916,3
916,2
917,1
926,1
926,2
926,3
927,5
927,4
928,56
928,55
928,54
931,69
931,70
931,68
931,64
931,66
931,65
931,67
932,1
933,2
933,3
933,4
933,5
933,6
934,2
936,47
936,42
936,43
936,45
936,46
937,21
938,1
939,38
939,39
939,40
939,37
939,14
939,16
939,15
939,17
941,16
941,14
941,13
941,15
941,2
941,1
941,3
943,57
943,52
943,53
943,54
943,55
943,56
944,1
948,19
948,18
950,5
950,6
950,7
951,2
951,3
952,3
952,1
952,2
953,6
953,5
953,4
953,1
953,2
953,3
954,1
955,1
956,30
956,29
956,31
957,4
957,3
957,2
957,1
958,1
959,1
960,10
962,2
963,41
963,40
963,42
963,9
963,1
963,10
965,30
965,31
965,32
966,1
966,2
966,3
967,21
967,29
969,1
970,7
970,3
970,2
971,13
971,14
971,15
971,16
972,1
972,2
972,3
973,34
973,35
974,65
974,64
974,63
974,60
974,61
974,62
975,12
975,1
975,2
975,3
976,23
976,21
977,1
979,2
979,3
979,4
979,5
980,30
980,31
980,32
981,1
982,41
982,40
982,39
982,4
982,13
982,12
982,14
983,1
984,48
984,49
986,33
986,32
987,4
988,1
989,26
989,27
989,28
989,29
989,30
990,3
991,34
991,33
991,32
991,31
992,2
992,3
992,4
993,5
993,4
993,6
993,2
993,3
994,73
994,72
994,1
995,1
995,2
995,3
995,4
996,1
996,2
996,3
996,4
996,5
998,40
998,39
998,37
998,33
998,35
998,34
998,36
1000,1
1000,50
1000,51
1001,1
1002,3
1002,2
1002,1
1003,1
1003,2
1003,3
1003,4
1007,5
1007,30
1008,1
1009,4
1009,3
1009,1
1009,2
1010,1
1011,55
1011,56
1011,57
1012,1
1013,39
1013,40
1014,51
1014,52
1014,50
1014,47
1014,48
1014,49
1014,46
1015,11
1015,12
1015,13
1015,14
1016,1
1017,1
1017,2
1018,1
1020,4
1021,1
1022,2
1022,3
1022,4
1023,28
1023,29
1023,30
1024,47
1024,51
1024,46
1024,45
1024,38
1024,39
1024,37
1024,40
1025,2
1025,3
1025,30
1025,31
1027,2
1027,1
1029,68
1029,54
1029,55
1029,56
1029,57
1029,58
1029,67
1029,69
