driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66
815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,0,0,0,0,0,0,0,22440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,0,0,0,0,0,0,0,0,0,22667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0,0,0,0,0,0,24396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0,0,0,0,0,22677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24631,0,0,0,0,0,0,0,0,0,0,0,0,23070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
