raceId,driverId,lap,driverOvertaken
1027,830,25,842
1027,830,28,807
1027,830,30,832
1027,830,38,826
1027,830,42,815
1027,832,21,825
1027,840,13,846
1027,841,13,846
1027,841,29,154
1027,842,13,846
1027,842,15,154
1027,842,17,847
1027,842,18,9
1027,842,22,825
1027,842,64,840
1027,842,70,807
1027,847,13,846
1028,8,9,825
1028,8,20,154
1028,8,44,807
1028,807,9,825
1028,807,29,825
1028,807,43,8
1028,807,47,8
1028,807,54,815
1028,815,11,841
1028,815,13,154
1028,815,14,825
1028,815,29,826
1028,815,52,842
1028,817,2,20
1028,817,8,846
1028,817,23,815
1028,817,24,807
1028,822,16,844
1028,822,52,1
1028,825,21,847
1028,825,42,154
1028,826,4,154
1028,826,10,825
1028,826,48,8
1028,826,55,815
1028,830,16,844
1028,832,26,807
1028,840,18,847
1028,840,22,154
1028,840,38,841
1028,841,22,847
1028,844,22,807
1028,846,23,815
1028,846,25,807
1028,846,48,815
1028,846,49,842
1028,846,52,832
1028,847,6,9
1028,848,7,9
1028,848,8,847
1028,848,12,841
1028,848,14,154
1028,848,15,825
1028,848,22,840
1028,848,22,154
1028,848,25,8
1028,848,28,842
1028,848,31,832
1028,848,35,846
1028,848,37,817
1028,848,43,842
1028,848,45,832
1028,848,48,817
1029,1,22,844
1029,1,70,848
1029,8,4,154
1029,8,52,846
1029,8,60,154
1029,8,70,848
1029,9,8,825
1029,154,70,848
1029,807,8,825
1029,807,59,825
1029,807,61,840
1029,807,61,826
1029,807,64,154
1029,807,70,848
1029,815,8,825
1029,815,25,825
1029,815,63,154
1029,815,70,848
1029,817,8,825
1029,817,16,847
1029,817,17,9
1029,817,26,825
1029,817,46,825
1029,817,60,154
1029,817,60,815
1029,817,70,848
1029,825,9,9
1029,825,62,826
1029,825,64,154
1029,825,70,848
1029,825,70,807
1029,826,8,825
1029,826,51,825
1029,826,70,848
1029,826,70,807
1029,826,71,825
1029,830,23,848
1029,830,23,1
1029,830,60,1
1029,832,2,826
1029,832,3,807
1029,832,4,815
1029,832,8,825
1029,832,21,840
1029,832,51,846
1029,832,60,154
1029,832,70,848
1029,840,2,817
1029,840,7,825
1029,840,61,826
1029,840,64,154
1029,841,5,825
1029,841,22,825
1029,841,60,154
1029,841,70,848
1029,842,25,807
1029,842,27,840
1029,842,50,154
1029,842,70,848
1029,844,2,841
1029,844,3,825
1029,844,5,154
1029,844,7,8
1029,844,10,842
1029,846,6,825
1029,846,61,826
1029,846,62,154
1029,846,62,815
1029,846,70,848
1029,847,26,9
1029,847,70,848
1029,848,60,20
1030,8,38,825
1030,20,53,848
1030,154,26,847
1030,807,2,825
1030,815,6,825
1030,815,40,817
1030,815,45,807
1030,815,54,846
1030,817,46,825
1030,817,49,8
1030,817,54,807
1030,822,2,8
1030,822,6,841
1030,822,7,825
1030,822,12,815
1030,822,39,848
1030,826,21,8
1030,826,46,807
1030,830,32,844
1030,832,15,817
1030,832,43,825
1030,832,46,8
1030,832,54,807
1030,841,2,840
1030,841,19,847
1030,842,46,9
1030,846,10,9
1030,847,35,9
1030,847,45,840
841,4,2,155
841,4,5,3
841,4,11,13
841,4,14,2
