driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64
56,,[],[],[],[],[],[],[],[],[],[],[63],[],[],"[77, 30]","[65, 57]","[49, 44]",[],[21],[],"[64, 22]",[50],[64],[],[],[],[75],[],[],[],[23],[64],[],[75],[],[],[],[],[],[],"[50, 77]",[],[64],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[49],"[14, 30]",[],[49],[],"[21, 30]",[56],[],[30],[],[],[],[44],[],[],[56],[77],[],[],[21],[],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[21]
63,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[81],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
64,,[],[],[],[],[],[],[],[],[79],[81],[76],[23],[63],[15],[],[76],[],[],[],[],"[50, 22]",[],[],[],[76],[],[],[23],[],[],[],[],[23],[],[],[],[],[],[],"[77, 23]",[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[],[],[],[],[],[],[],[],[],[],[],[77],[],"[14, 30]",[],[75],[],[21],[56],[],[],[],[49],[],[44],[],"[57, 21]",[],[],[30],[],[],[],[],[],[],[],[],[],[57],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[57]
71,,[],[],[],[],[],[],[],[],[],[56],[63],[],[],"[56, 77, 30]","[65, 57]",[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
75,,[],[],[],[50],[],[],[],[],[],[],[23],[63],[],[77],[],[],[],[50],[56],[],[],[],[],[],[23],[],[],[56],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
76,,[],[],[],[],[],[],[],[],[],"[81, 79]",[],"[64, 15, 23]",[63],[],[],[],[],[],[],[],[15],[81],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[81],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
77,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[76],[],[],[64],"[50, 22]",[],[75],[],[],[],[49],[56],[],[],[],[],[22],[75],[],[],[],[],[],[56],[],[81],[64],[],[],[],[23],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
79,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
81,,[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[],[],[15],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
